Feature ID,106A_Female_TotalReads,108A_Female_TotalReads,106A_Male_TotalReads,108A_Male_TotalReads
TR3431,7,9,1,2
TR34319,5312,5229,12496,14369
TR3432,10,1,3,11
TR34332-1,14,7,17,4
TR34332-2,0,0,7,1
TR34336,1060,569,4258,4241
TR34343,813,2222,863,1095
TR34349-1,2,3,16,26
TR34349-2,8,2,6,6
TR3435,4,5,9,14
TR34352,705,893,1767,2162
TR3436,2,2,2,5
TR34363,458,602,557,377
TR34366-1,12,6,9,1
TR34366-2,18,7,11,7
TR3437,4,10,16,1
TR34379,637,612,934,858
TR34398,4961,6178,10919,12716
TR34399,1338,1533,2911,3039
TR344,205,258,253,229
TR3441-1,1,2,1,2
TR3441-2,1,0,1,3
TR34410,1769,2401,3296,2052
TR34412,1601,2408,2343,1898
TR34415,3305,4071,4350,4196
TR34417-1,480,313,25,77
TR34417-2,28,182,69,3
TR34420,153,714,47,3
TR34421,5445,8274,8597,11074
TR34426,579,783,879,773
TR34441-3,4,0,3,0
TR34445-1,1,4,3,6
TR34445-2,10,2,2,1
TR34446-3,6,10,6,6
TR34446-4,2,2,6,10
TR3445,5,2,5,9
TR34450-1,22,61,3,3
TR34450-2,64,81,91,60
TR34451,55,369,227,198
TR34452-1,22,32,46,28
TR34452-2,24,24,38,41
TR34457,413,446,799,622
TR34461,1523,1840,2345,2318
TR3447,1,4,5,2
TR34477-1,9,7,21,9
TR34477-2,6,14,22,10
TR34478,289,355,499,546
TR34481,366,521,799,953
TR34484,515,769,763,584
TR34489,277,252,408,431
TR3449,4,6,13,12
TR34492-1,4,7,8,12
TR34492-2,3,15,30,16
TR34493,733,1130,1234,1500
TR34494-1,1,5,6,9
TR34494-2,5,5,8,3
TR3450,3,1,5,6
TR34508,6490,8269,10304,10730
TR3451,11,25,51,55
TR3452,9,10,23,10
TR34520,288,437,564,640
TR3453,4,2,9,12
TR34530-1,13,9,8,2
TR34530-2,19,17,1,12
TR34531-1,42,58,26,20
TR34531-2,22,21,12,22
TR34536,774,1041,1965,3116
TR3454-1,1,1,2,6
TR3454-2,3,0,3,3
TR34544,220,309,387,74
TR34545-4,0,2,3,5
TR34547,1633,2482,3973,4669
TR3455,0,2,10,9
TR34550,714,890,1090,1079
TR34557-1,18,7,2,1
TR34557-2,29,6,1,3
TR34557-3,0,0,0,0
TR3456,1,5,4,12
TR34560-1,73,33,29,22
TR34560-2,11,10,13,7
TR34564-1,2,34,35,33
TR34564-2,32,66,19,18
TR34565,445,494,609,721
TR34568-1,115,22,20,44
TR34568-2,61,86,107,28
TR34569,1413,1453,1617,1423
TR3457,5,6,3,4
TR34574,409,523,473,548
TR34575,1318,1609,1995,2498
TR34579-3,3,2,20,39
TR3458,10,2,2,7
TR34581,135,271,314,240
TR34582-1,16,33,160,54
TR34582-2,18,26,83,28
TR34584-1,1,0,7,2
TR34584-2,0,0,2,3
TR3459,1,6,4,3
TR34592-1,23,52,31,36
TR34592-2,1,8,6,6
TR34599,995,1138,2580,2217
TR346,41,47,79,64
TR3460,19,15,15,10
TR34601,434,1005,707,1015
TR34606-1,19,32,27,17
TR34606-2,85,47,80,235
TR3461,191,65,207,142
TR34610-1,21,11,38,10
TR34610-2,7,4,3,1
TR34612-1,61,53,296,259
TR34612-2,58,65,126,109
TR34622-1,89,49,64,62
TR34622-2,63,80,85,75
TR34626,294,497,439,466
TR3463,9,2,23,4
TR34635,356,1288,891,639
TR3464,1,2,5,5
TR34648,1898,2511,4025,4977
TR34649,359,651,883,838
TR3465,12,9,15,5
TR34651,286,392,1015,1414
TR34657,499,715,1022,1333
TR34659,281,369,692,520
TR3466,8,7,12,13
TR34662,1923,2263,3809,3784
TR34663,435,226,308,191
TR3467-1,0,1,3,2
TR3467-2,0,6,5,0
TR34670-1,76,47,99,95
TR34670-2,0,17,2,2
TR34676-1,17,8,7,10
TR34676-2,15,13,7,11
TR34679,463,609,862,796
TR34683-1,13,6,75,179
TR34683-2,8,7,23,100
TR34684-1,1,7,0,5
TR34684-2,4,8,2,6
TR34688,4766,2081,21558,23738
TR34689,15,646,511,1025
TR3469,435,933,1078,623
TR34690-1,7,13,9,7
TR34690-2,9,13,0,0
TR34694,901,811,1527,1595
TR34696-1,46,141,96,211
TR34696-2,75,149,200,63
TR347,9,38,3,4
TR3470-1,3,0,6,7
TR3470-2,1,3,4,3
TR34706-1,3,20,11,8
TR34706-2,2,80,2,4
TR34707,624,377,463,285
TR34708,691,831,749,1055
TR3471,9,7,8,12
TR34712,203,226,301,337
TR3472,2,3,5,5
TR34720,892,849,1002,865
TR34727,764,828,537,419
TR34728-1,2,0,18,7
TR34728-2,1,1,19,7
TR3473,2,8,6,1
TR3474,1,2,1,5
TR34740,200,177,357,475
TR34748,803,1111,1668,1378
TR3475,2,7,3,3
TR3476,3,4,15,10
TR34761-1,68,0,7,161
TR34761-2,41,0,192,155
TR34763-1,9,1,10,17
TR34763-2,14,5,8,7
TR34767,698,1482,916,793
TR34768,9908,11532,10593,11446
TR34770-1,45,144,47,112
TR34770-2,44,8,196,25
TR34776,205,336,1047,857
TR34783,860,1106,1831,2160
TR3479,10,2,11,14
TR34790,638,826,925,1033
TR34792,180,471,392,333
TR34794,1735,1518,3835,4334
TR34795,504,465,976,951
TR34798,1818,1594,2787,2224
TR34799-1,7,0,6,10
TR34799-2,0,27,0,1
TR348,16,8,18,37
TR3480-1,1,4,4,5
TR3480-2,4,1,0,4
TR34801-1,4,9,12,2
TR34801-2,0,0,1,0
TR34805,237,427,603,487
TR3481,1,2,4,14
TR34810-1,30,33,42,33
TR34810-2,100,115,80,54
TR34813,619,715,581,529
TR34817,334,343,428,369
TR3482,17,16,6,14
TR34826,203,353,340,460
TR34829-1,72,109,113,48
TR34829-2,22,117,35,173
TR3483,16,10,24,4
TR34832-1,251,406,495,444
TR34832-2,39,18,47,33
TR3484,5,2,4,2
TR34857,589,417,2387,2141
TR34859,1218,1461,1311,1017
TR3486,16,5,4,7
TR34862-3,2,0,1,0
TR34863-1,156,530,611,566
TR34863-2,74,52,27,25
TR34864-1,3,2,4,0
TR34864-2,9,8,14,3
TR3487,7,3,9,12
TR34871,755,786,2193,1750
TR34878-1,23,33,33,47
TR34878-2,13,10,14,19
TR34878-3,7,8,11,31
TR34879-1,12,18,28,13
TR34879-2,36,65,37,68
TR3488,1,2,6,7
TR34880,44681,58449,100493,96397
TR3489,38,33,86,10
TR34893,331,455,499,524
TR34896-1,0,0,7,0
TR34896-2,2,3,2,3
TR34898-1,54,91,136,45
TR34898-2,462,417,212,607
TR349,27,35,77,74
TR34904,513,472,828,861
TR3491,2,3,2,3
TR34916,424,679,1983,1045
TR34917,679,813,1298,1224
TR3492,5,5,12,5
TR34922,113,176,303,408
TR34923-1,22,31,30,26
TR34923-2,1,4,0,6
TR34924,442,711,833,830
TR3493,0,7,1,5
TR34937,585,907,1059,1310
TR3494,0,46,0,14
TR34942,219,290,342,339
TR34943,1621,1643,2847,2929
TR3495,2,1,5,3
TR34952,260,370,528,624
TR34956-1,1,6,18,16
TR34956-2,1,35,3,1
TR34967-3,20,22,41,44
TR34967-4,5,33,13,14
TR34968,177,195,261,251
TR34970,1051,1319,1480,2052
TR34971,2492,2330,6773,8879
TR34974,174,114,958,2011
TR3498-1,2,0,6,1
TR3498-2,13,3,0,0
TR34983,246,429,944,687
TR34984,149,178,207,192
TR34986-1,13,1,24,8
TR34986-2,4,11,13,4
TR34988,326,403,551,492
TR3499,0,0,0,4
TR3499-1,0,2,2,2
TR3499-2,0,2,2,0
TR35,1,2,6,13
TR350,10,8,10,16
TR35005-1,7,23,53,46
TR35005-2,2,15,2,14
TR35009,821,1200,1439,1308
TR3501,76,49,316,193
TR35013,142,115,428,411
TR35014,75,128,339,545
TR35023,436,655,799,729
TR35025-1,1,0,11,1
TR35025-2,2,0,0,4
TR35027,336,370,469,571
TR3503,2,11,4,2
TR35032,483,451,1386,1766
TR35034,1462,1335,2463,5370
TR35038,2387,2337,4287,4031
TR3504,3,1,5,3
TR3504-1,1,0,0,1
TR3504-2,1,9,10,5
TR35047-1,8,16,14,10
TR35047-2,6,0,5,4
TR35051,1602,557,9804,10948
TR35061,167,268,192,240
TR35067,1227,3203,1060,1500
TR35070,1062,1516,2128,2085
TR35071,391,408,608,709
TR35073,192,341,341,247
TR35078,492,493,476,446
TR3508,2,7,3,0
TR35081,701,359,459,365
TR35084,512,628,1007,649
TR3509,8,8,2,5
TR35092-1,0,0,1,6
TR35092-2,5,5,3,6
TR3510,13,4,1,0
TR35100-1,3,3,3,10
TR35100-2,5,0,7,10
TR35101-1,297,237,417,352
TR35101-2,62,206,147,98
TR35102-1,21,6,3,7
TR35102-2,25,15,27,8
TR35103,601,632,2505,2628
TR35104-1,3,1,0,7
TR35104-2,20,20,49,22
TR35105,706,1197,1572,1258
TR3511-1,6,11,4,0
TR3511-2,3,11,7,13
TR35114-1,2,1,4,0
TR35114-2,3,0,3,1
TR35114-3,1,9,13,0
TR35114-4,9,0,0,2
TR35117-1,10,27,14,3
TR35117-2,20,18,15,39
TR3513,12,29,41,18
TR35130,928,1021,2041,2796
TR35139-1,19,18,22,16
TR35139-2,26,20,45,35
TR35140,11420,12835,17238,16574
TR35144,423,471,643,563
TR3515,5,8,8,5
TR3516,3,1,4,5
TR35162-1,110,101,154,149
TR35162-2,299,388,728,829
TR3517,3,1,7,0
TR35179-1,694,628,890,1218
TR35179-2,188,225,275,321
TR3518,23,9,6,26
TR35180,316,703,501,495
TR35181-1,8,0,22,15
TR35181-2,4,10,13,17
TR35186-1,0,0,4,12
TR35186-2,7,24,22,32
TR35186-3,2,4,1,1
TR3519,2,3,5,7
TR35194-1,0,1,17,1
TR35194-2,5,6,3,13
TR3520,8,4,8,12
TR35201-3,1,0,0,0
TR35203-1,23,19,29,23
TR35203-2,8,35,35,7
TR35207-1,8,20,27,47
TR35207-2,4,5,15,8
TR35208,139,203,317,270
TR3521,6,10,11,2
TR35211-1,1,2,6,7
TR35211-2,4,3,0,4
TR35212,1969,541,10027,9214
TR35213-1,2,1,0,3
TR35213-2,0,2,1,4
TR35215-1,11,16,18,13
TR35215-2,17,7,9,5
TR35220,223,211,202,156
TR35228-1,3,0,6,14
TR35228-2,1,1,15,5
TR35228-3,1,0,1,3
TR3523,11,2,1,0
TR35238,2146,2469,3412,4046
TR35248,573,1103,1601,955
TR35252,95,65,575,711
TR35259,721,906,207,95
TR3526,4,2,7,5
TR35266-1,4,3,16,9
TR35266-2,3,11,11,13
TR35267-1,0,1,2,1
TR35267-2,5,5,6,1
TR35269,192,354,337,493
TR3527,478,464,1489,909
TR35272-1,4,1,12,38
TR35272-2,1,12,14,27
TR3528,0,4,14,6
TR35280,247,316,474,367
TR3529,1,8,29,6
TR35292,506,657,974,1380
TR35297-1,9,1,6,19
TR35297-2,33,18,30,44
TR3530,3,4,1,6
TR35307,740,740,1810,2031
TR35308,438,307,930,1147
TR3531,10,1,26,2
TR35312,307,384,805,1000
TR3532,1,7,2,2
TR35320-1,1,43,29,40
TR35320-2,32,19,35,8
TR35322-1,8,12,11,29
TR35322-2,0,2,5,8
TR35324,1510,4849,2116,1926
TR35329,112,118,526,439
TR35329-1,46,104,249,138
TR35329-2,130,102,601,666
TR3533,28,25,40,32
TR35332,505,717,1454,1442
TR3534,19,3,10,2
TR35344-1,6,3,2,7
TR35344-2,4,1,16,26
TR3535,0,4,2,5
TR35350-1,226,181,298,292
TR35350-2,30,30,25,33
TR35356,277,389,376,357
TR3536,2,4,4,2
TR35366,221,304,426,552
TR35367,320,669,363,348
TR3537,6,4,7,8
TR35371-1,22,20,18,8
TR35371-2,43,44,37,33
TR35374,1874,1827,3618,3470
TR3538,22,7,4,4
TR35385-3,1,0,1,1
TR35395-1,3,4,3,7
TR35395-2,2,2,2,12
TR354,49,42,58,38
TR3540,4,12,13,8
TR35404,1097,946,852,788
TR35406,146,312,443,314
TR35406-1,3,5,9,4
TR35406-2,2,5,2,2
TR3541,13,17,16,11
TR35410-1,16,4,234,44
TR35410-2,5,2,9,11
TR35412-1,371,545,638,97
TR35412-2,136,102,126,118
TR35418,20,44,14,23
TR35418-1,623,470,970,1318
TR35418-2,370,607,488,275
TR35419-3,0,0,39,67
TR35419-4,3,1,35,21
TR3542,4,3,6,8
TR3543-1,0,1,5,5
TR3543-2,6,5,5,4
TR35436-1,1,5,2,0
TR35436-2,10,2,8,0
TR35439,3787,4679,7273,6799
TR3544,0,2,8,9
TR35444-3,6,4,7,3
TR35446,470,469,1180,955
TR3545,6,8,2,3
TR35452,100,277,414,371
TR3546,15,3,16,11
TR35463,245,282,408,426
TR35464,155,164,292,339
TR35469-1,16,9,32,15
TR35469-2,22,32,41,53
TR3547,4,10,1,0
TR35471-1,219,266,323,163
TR35471-2,262,187,280,343
TR35472-1,5,1,8,4
TR35472-2,1,6,1,6
TR35473-1,14,35,15,9
TR35473-2,12,44,14,2
TR35474,511,522,684,712
TR35481,1120,1051,1426,1291
TR35482-1,99,110,183,79
TR35482-2,431,375,305,451
TR35484,44544,95514,120860,96388
TR35488-1,491,524,682,676
TR35488-2,519,473,647,754
TR35492-1,92,88,442,446
TR35492-2,127,225,390,291
TR35495-1,19,24,28,33
TR35495-2,19,44,29,34
TR3550,4,3,4,6
TR35500-1,99,76,50,44
TR35500-2,56,21,22,19
TR35504-1,8,5,9,7
TR35504-2,10,3,24,35
TR3551,3,6,2,5
TR35513-1,70,20,32,35
TR35513-2,14,60,62,25
TR35519,3013,3456,4576,5137
TR3552,4,3,9,16
TR35521-1,19,13,134,150
TR35521-2,23,12,147,155
TR3553,25,9,0,9
TR35533,3104,3464,3236,3360
TR35535-1,1,64,10,31
TR35535-2,11,11,38,30
TR35537,4718,2710,26435,38698
TR35538-1,5,8,9,4
TR35538-2,5,11,0,4
TR35538-3,6,2,5,5
TR35538-4,7,4,16,7
TR35539-1,61,83,168,183
TR35539-2,63,106,167,169
TR3554,2,1,31,29
TR35544-1,4,2,6,9
TR35544-2,8,8,7,9
TR35546-1,9,9,27,16
TR35546-2,13,24,62,34
TR35550,518,500,1283,1419
TR35555-1,0,1,57,19
TR35555-2,15,27,26,27
TR35556-1,321,170,568,107
TR35556-2,396,466,276,364
TR35559,1091,1669,2160,2589
TR35562,479,363,685,666
TR35566-1,221,196,356,297
TR35566-2,57,112,172,203
TR3557,11,22,18,26
TR35572-1,8,6,8,5
TR35572-2,0,0,0,2
TR35573,716,532,1163,1316
TR35574,1338,1796,2330,2652
TR35578,10465,4207,6060,6152
TR3558,7,3,0,2
TR35581-1,21,16,18,7
TR35581-2,0,17,0,41
TR35589,776,447,798,782
TR3559,45,38,54,49
TR35597,665,675,1163,958
TR356,2,3,3,3
TR35600,24891,25827,60915,58129
TR35602,958,1032,1459,1105
TR35604,582,688,2670,2110
TR35608,775,597,656,532
TR3561,0,3,2,3
TR35610-1,0,8,30,1
TR35610-2,16,11,4,18
TR35618-1,20,20,174,70
TR35618-2,32,49,95,75
TR35619,155,226,356,343
TR3562,12,4,10,11
TR35621-1,11,0,22,29
TR35621-2,20,44,57,46
TR35624,15,9,8,34
TR35624-1,53,77,84,135
TR35624-2,79,46,98,172
TR35625,2077,2565,2910,2897
TR35626-1,11,19,29,44
TR35626-2,5,7,14,7
TR35629,1091,630,921,595
TR3563,96,84,95,68
TR35641-1,17,5,3,8
TR35641-2,13,17,16,10
TR35641-3,4,26,19,7
TR35643,511,700,891,921
TR35644-1,300,126,79,105
TR35644-2,153,111,154,34
TR35650,3532,2996,4683,3909
TR35659-1,31,25,22,15
TR35659-2,34,110,22,55
TR3566,5,6,4,1
TR35660,778,739,1339,919
TR35665,489,770,1443,1942
TR35667-1,20,30,49,25
TR35667-2,15,12,49,12
TR3567-1,0,2,9,1
TR3567-2,0,4,3,14
TR35678,1209,1217,2500,2779
TR35678-1,430,365,963,1204
TR35678-2,7,258,143,478
TR3568,5,18,12,21
TR35687,277,574,523,528
TR35692-1,64,87,52,57
TR35692-2,9,36,18,69
TR35695-1,40,58,54,73
TR35695-2,36,30,23,0
TR357,4,1,1,6
TR35702-1,0,0,2,0
TR35702-2,0,0,10,1
TR35706,36797,47022,72462,77096
TR3571,3,4,6,7
TR35710-1,107,115,86,20
TR35710-2,15,19,20,17
TR35717,150,195,557,500
TR3572,3,13,22,3
TR35727,924,1385,1118,1122
TR35728-1,304,369,251,170
TR35728-2,173,162,153,132
TR3573,5,14,10,0
TR35730-1,8,15,12,16
TR35730-2,7,5,3,8
TR35744,9,21,31,21
TR35748,463,199,170,154
TR3575,5,0,10,3
TR3575-1,0,1,2,1
TR3575-2,1,3,2,0
TR35754,946,1493,1565,1467
TR3576,2,2,14,9
TR35762,717,2042,1256,1427
TR35769-1,0,1,17,10
TR35769-2,7,9,18,7
TR3577,11,6,24,17
TR35777-1,52,51,77,28
TR35777-2,20,5,3,9
TR35784-1,4,2,19,9
TR35784-2,12,3,7,11
TR35787-1,20,32,48,21
TR35787-2,22,21,19,16
TR35788,5480,4707,6065,4084
TR3579,7,7,11,6
TR35793,2468,2515,5019,5815
TR35802,1199,1765,6688,6559
TR35803-3,12,20,29,33
TR35805,3406,4347,4252,5157
TR35807-1,15,24,40,60
TR35807-2,12,23,61,12
TR3581,3,13,6,2
TR35818-3,2,6,10,7
TR35819-1,67,86,7,15
TR35819-2,14,116,5,4
TR3582,3,0,9,5
TR35834,1731,1769,5479,7984
TR3584,2,3,19,20
TR35844,1342,1434,4763,5309
TR35846-1,5,0,3,2
TR35846-2,7,2,4,3
TR35847,309,391,915,1039
TR3585,4,2,1,3
TR3586-1,0,6,0,19
TR3586-2,0,0,0,5
TR35861,439,550,987,1107
TR35868,582,501,1036,1423
TR3587,4,2,6,1
TR35875-1,11,117,103,36
TR35875-2,47,77,34,61
TR35875-3,60,25,38,37
TR35877-1,17,9,86,61
TR35877-2,14,82,50,40
TR3588,9,7,15,17
TR35886,1688,2591,2365,2687
TR3589,1,4,14,19
TR35897,962,1095,1882,1618
TR35901,863,1283,1205,1402
TR35904-1,9,6,12,6
TR35904-2,13,11,18,11
TR35905,402,263,509,1124
TR35915,982,611,729,472
TR35917,2575,1744,9324,10678
TR35918,196,229,352,496
TR3592,7,13,4,4
TR35926-1,125,106,127,73
TR35926-2,21,11,39,19
TR3593,6,14,15,12
TR35938-1,107,124,153,224
TR35938-2,153,115,393,285
TR35941,1617,1642,4419,5516
TR35942,607,953,1015,945
TR35944-1,40,42,112,82
TR35944-2,51,89,116,122
TR35949,948,1165,3906,4966
TR3595,1,6,5,7
TR35951-1,6,7,15,13
TR35951-2,184,94,69,54
TR3596,3,3,2,5
TR35962,597,1153,2637,814
TR35967,138,142,402,469
TR3597,1,4,0,4
TR35972,304,462,394,396
TR3598,2,2,19,15
TR35980,408,552,688,754
TR35984,1695,2651,2062,2004
TR35991,453,535,846,1386
TR35997,464,750,1194,1258
TR36,12,11,4,7
TR3600,10,13,14,5
TR36000-1,9,9,16,16
TR36000-2,150,79,201,120
TR36001-1,1,2,0,1
TR36001-2,1,6,7,10
TR36002-1,0,1,3,6
TR36002-2,0,2,0,0
TR36003,5830,12551,6299,6507
TR36005-1,16,3,27,35
TR36005-2,1,2,8,7
TR3601,3,40,24,9
TR36010-1,94,48,24,3
TR36010-2,61,92,14,6
TR36017-1,64,31,23,40
TR36017-2,15,8,12,6
TR36022-1,28,12,31,33
TR36022-2,18,112,23,78
TR36024,513,786,1381,814
TR36026,339,337,438,354
TR36028-1,238,73,207,119
TR36028-2,7,14,6,3
TR3603,2,5,9,17
TR36031,2185,2477,3908,4406
TR36034-1,644,312,337,212
TR36034-2,44,78,28,31
TR36039-1,0,1,4,2
TR36039-2,0,1,9,6
TR3604-1,6,9,9,6
TR3604-2,3,4,11,4
TR36040,2838,1563,1882,1172
TR36041-1,10,2,4,0
TR36041-2,2,2,2,0
TR36044-1,4,15,4,10
TR36044-2,3,3,2,3
TR3605,1,4,1,10
TR36054-1,1,3,22,31
TR36054-2,1,7,9,6
TR36061,2167,2616,5035,6815
TR36066,658,995,1134,1169
TR3607,5,3,7,9
TR36070-1,49,45,56,89
TR36070-2,12,36,25,15
TR36076,1645,1612,2597,2438
TR36077,752,665,1531,1669
TR3608,2,3,3,0
TR36089,761,582,1058,1700
TR3609,15,8,29,46
TR36091-1,1,0,1,5
TR36091-2,4,12,10,15
TR36094,599,857,774,816
TR3610,2,8,1,6
TR36101,2189,2723,3465,2772
TR36107,822,777,985,1188
TR3611,6,6,4,6
TR36111,3218,2444,12696,13834
TR36114,5772,4895,4732,4325
TR36117-3,1,5,2,4
TR36117-4,4,5,1,1
TR3612,1,0,12,4
TR36121-1,178,114,153,54
TR36121-2,82,70,61,125
TR36124,168,219,479,398
TR36129-1,177,82,114,67
TR36129-2,79,44,76,54
TR3613,82,48,115,258
TR36131,339,357,773,546
TR36132,1227,1295,1186,1091
TR3614,17,11,38,25
TR36140,339,411,589,822
TR36141-1,1,0,3,3
TR36141-2,0,0,2,4
TR3616,6,6,8,5
TR36161-1,108,44,1,38
TR36161-2,221,59,20,26
TR36164-1,62,69,61,40
TR36164-2,184,261,255,246
TR36167,3132,3201,4966,5093
TR3617,1,3,4,7
TR36177-1,43,31,119,324
TR36177-2,14,12,179,104
TR3618-1,36,2,8,0
TR3618-2,3,0,3,1
TR36185-1,443,594,12,28
TR36185-2,205,68,4,2
TR36187,861,747,1182,1161
TR3619-1,2,2,26,8
TR3619-2,13,17,6,8
TR362,6,7,9,3
TR3621,3,16,4,9
TR36210,694,580,1104,887
TR36217,1234,1046,1103,952
TR36219,627,810,1339,1864
TR3622,11,9,8,8
TR36220-1,7,6,6,12
TR36220-2,8,1,1,17
TR36224-1,4,3,8,12
TR36224-2,0,6,2,1
TR36226,348,1726,1599,1211
TR36228-1,106,90,152,216
TR36228-2,136,224,175,225
TR3623,1,6,7,3
TR3624,3,0,4,4
TR36241,1480,1643,4440,6052
TR3625,0,1,13,25
TR36251,500,549,717,334
TR3626,4,8,9,6
TR36260,408,555,675,510
TR36266-1,132,143,132,132
TR36266-2,45,51,36,46
TR3627,5,1,3,3
TR36273-1,7,16,18,11
TR36273-2,4,16,5,9
TR36274,4034,5155,7524,8391
TR3628,1,7,7,1
TR36280,566,713,1129,1358
TR36286,2773,5938,5292,6058
TR3629,1,6,6,9
TR36296-1,120,654,12,9
TR36296-2,329,752,78,44
TR36296-3,285,1050,63,40
TR36298-1,213,0,78,3
TR36298-2,43,65,127,128
TR363,3,4,7,9
TR3630,4,5,12,4
TR36304,1875,3036,3065,3711
TR36307,747,712,1933,2097
TR3631,3,2,7,9
TR36315,87,191,287,381
TR3632,2,4,9,6
TR36325-1,6,9,16,47
TR36325-2,1,2,3,1
TR36328-1,531,421,214,489
TR36328-2,111,348,381,325
TR3633,4,5,4,4
TR36337,1097,1359,2353,2817
TR3634,6,10,13,4
TR36347-1,73,108,153,129
TR36347-2,28,36,14,19
TR3635,15,46,9,38
TR36351-1,9,1,4,1
TR36351-2,4,6,7,2
TR3636,3,2,1,3
TR36365-1,18,27,47,35
TR36365-2,26,58,98,104
TR36368,179,320,589,736
TR3637,14,6,7,5
TR36372,1078,1223,1334,1182
TR36377,691,740,1040,1049
TR3638,3,4,6,1
TR3639,19,41,79,45
TR36391,2847,3166,4098,4517
TR36395,1085,2526,2552,1693
TR36397,2360,3092,3637,4478
TR364-1,1,5,3,19
TR364-2,0,0,22,0
TR3640,2003,2039,3846,4691
TR36400-1,33,135,278,386
TR36400-2,16,47,25,33
TR36418,1172,1091,1109,952
TR3642,19,12,4,7
TR3643,9,17,16,22
TR36437-1,34,103,101,126
TR36437-2,3,11,17,17
TR3644,3,1,5,5
TR36446-3,6,13,11,5
TR36449-1,5,5,11,5
TR36449-2,5,2,7,3
TR36450-1,23,9,58,20
TR36450-2,2,10,11,18
TR36454-1,14,2,56,18
TR36454-2,2,12,0,15
TR3646-1,8,18,24,12
TR3646-2,5,11,37,11
TR36469-3,169,133,286,203
TR36469-4,37,26,75,63
TR3647,4,1,0,16
TR36476,2032,2637,3549,3868
TR36478,1482,1289,2508,2690
TR36487-1,31,31,53,47
TR36487-2,0,0,7,1
TR3649,2,5,13,3
TR36492,650,869,770,701
TR36494-1,125,121,201,133
TR36494-2,33,48,38,30
TR36496,888,1076,1440,1454
TR3650,6,3,7,12
TR36506,701,367,1232,1805
TR36507,1948,3404,3387,4176
TR36512-1,6,9,20,20
TR36512-2,6,14,12,14
TR36516,493,641,923,784
TR3652,4,2,13,2
TR36523-3,8,4,1,1
TR36526,366,814,102,153
TR3653,4,8,6,2
TR36532-1,10,17,15,20
TR36532-2,49,58,99,48
TR36534,428,642,907,1065
TR3654,3,5,5,2
TR36544,1341,1464,1256,1541
TR36545,627,909,1598,1635
TR3655,2,5,3,5
TR36556-1,0,0,1,0
TR36556-2,9,14,24,20
TR3656-1,5,23,31,37
TR3656-2,24,3,33,8
TR36561-1,17,18,23,25
TR36561-2,29,40,80,56
TR36561-3,13,3,3,24
TR36562-1,4,9,3,1
TR36562-2,9,11,15,5
TR36563,849,1136,2314,4191
TR36568,735,1212,1328,1492
TR36569-1,9,25,28,30
TR36569-2,54,76,170,45
TR36570,1224,1039,1762,2155
TR36575,1288,1818,2420,3093
TR36577-1,107,16,24,61
TR36577-2,122,27,37,56
TR36578,4111,4437,7959,7375
TR3658,1,0,3,11
TR3659,5,1,15,0
TR36599-1,211,51,267,43
TR36599-2,0,16,6,24
TR366,1,2,2,10
TR3660,1,2,8,2
TR36607-1,35,1,26,56
TR36607-2,42,21,60,40
TR36609-1,8,8,1,1
TR36609-2,3,4,7,1
TR3661,14,0,0,7
TR36614-1,27,0,14,23
TR36614-2,7,10,18,12
TR36615-1,8,1,0,5
TR36615-2,8,14,3,8
TR3662,2,13,7,3
TR36627-3,15,16,36,14
TR36627-4,2,1,13,25
TR36632,837,634,1485,3111
TR3664,18,16,6,26
TR36642-1,40,47,78,54
TR36642-2,42,60,56,66
TR36646-1,24,56,41,46
TR36646-2,401,349,472,309
TR3665,16,14,14,41
TR36655,932,1080,1504,1122
TR36658,1573,1986,2783,2370
TR36662,274,337,462,426
TR36664-1,4,11,11,14
TR36664-2,1,1,1,3
TR3667,2,4,2,1
TR3668,22,36,66,93
TR36682-1,32,19,5,27
TR36682-2,18,10,23,9
TR36686-1,34,27,43,41
TR36686-2,7,8,100,2
TR3669,38,40,28,51
TR36691,1023,1051,1402,1274
TR36692,1734,1383,1921,1386
TR36698-1,1,6,2,3
TR36698-2,4,8,10,2
TR36699-1,1,6,18,0
TR36699-2,4,7,2,5
TR367,16,9,24,22
TR3670,4,3,4,9
TR36704,1092,1140,2027,2000
TR36708,698,686,675,684
TR36711-1,14,29,18,27
TR36711-2,145,149,218,167
TR36715-1,1,0,3,7
TR36715-2,0,0,1,3
TR36716-1,1,0,5,0
TR36716-2,25,8,4,2
TR36719-1,3,4,0,12
TR36719-2,28,7,10,6
TR3672,3,2,3,3
TR36721,300,383,828,973
TR36729,2530,4196,2354,1752
TR3673,15,4,12,12
TR36731,165,218,379,370
TR36736-1,12,11,28,18
TR36736-2,0,2,11,6
TR3674,28,167,182,426
TR36744-1,0,9,0,17
TR36744-2,0,0,2,0
TR36745,1253,1510,2215,2221
TR36746-1,3,15,23,20
TR36746-2,0,3,8,7
TR3675,7,13,13,10
TR36751-1,69,143,172,48
TR36751-2,812,246,180,525
TR36752,175,211,153,212
TR36752-1,344,161,246,141
TR36752-2,194,259,143,200
TR36755,959,966,1717,1794
TR36760,2095,2212,3423,3353
TR36769,725,786,1238,1216
TR3677,1,3,26,24
TR36784-1,11,13,16,21
TR36784-2,6,4,12,17
TR36795-1,1,0,0,5
TR36795-2,4,2,8,9
TR3680,2,3,2,10
TR36808,531,687,1239,1672
TR3681,3,3,2,5
